#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05031	Amphetamine addiction	11	65	1.31	4.50e-09	9606.ENSP00000212015,9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000362649,9606.ENSP00000364349,9606.ENSP00000481956	SIRT1,FOSB,ATF2,FOS,CREB3L2,ATF4,CREB3,JUN,HDAC1,ATF6B,CREB3L1
hsa04915	Estrogen signaling pathway	13	133	1.07	1.80e-08	9606.ENSP00000215832,9606.ENSP00000254066,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000329357,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000361066,9606.ENSP00000364349,9606.ENSP00000399968,9606.ENSP00000481956	MAPK1,RARA,ATF2,FOS,CREB3L2,SP1,ATF4,CREB3,JUN,NCOA3,ATF6B,NCOA2,CREB3L1
hsa04934	Cushing's syndrome	12	153	0.98	6.08e-07	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264110,9606.ENSP00000264634,9606.ENSP00000329140,9606.ENSP00000329357,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000351407,9606.ENSP00000364349,9606.ENSP00000440864,9606.ENSP00000481956	MAPK1,CCND1,ATF2,WNT5A,CREB3L2,SP1,ATF4,CREB3,ARNT,ATF6B,NR4A1,CREB3L1
hsa05030	Cocaine addiction	8	49	1.29	7.81e-07	9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000364349,9606.ENSP00000481956	FOSB,ATF2,CREB3L2,ATF4,CREB3,JUN,ATF6B,CREB3L1
hsa05161	Hepatitis B	11	142	0.97	1.70e-06	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000364349,9606.ENSP00000389377,9606.ENSP00000481956	MAPK1,CCND1,ATF2,FOS,CREB3L2,ATF4,CREB3,JUN,ATF6B,NFATC1,CREB3L1
hsa05203	Viral carcinogenesis	12	183	0.9	1.95e-06	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264110,9606.ENSP00000302967,9606.ENSP00000328901,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000362649,9606.ENSP00000364349,9606.ENSP00000481956	MAPK1,CCND1,ATF2,HDAC3,GTF2H2,CREB3L2,ATF4,CREB3,JUN,HDAC1,ATF6B,CREB3L1
hsa04927	Cortisol synthesis and secretion	8	63	1.19	2.61e-06	9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000329357,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000440864,9606.ENSP00000481956	ATF2,CREB3L2,SP1,ATF4,CREB3,ATF6B,NR4A1,CREB3L1
hsa04668	TNF signaling pathway	9	108	1.0	9.95e-06	9606.ENSP00000215832,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000364349,9606.ENSP00000481956	MAPK1,ATF2,FOS,CREB3L2,ATF4,CREB3,JUN,ATF6B,CREB3L1
hsa05034	Alcoholism	10	142	0.93	9.95e-06	9606.ENSP00000215832,9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000302967,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000362649,9606.ENSP00000364349,9606.ENSP00000481956	MAPK1,FOSB,ATF2,HDAC3,CREB3L2,ATF4,CREB3,HDAC1,ATF6B,CREB3L1
hsa04211	Longevity regulating pathway	8	88	1.04	1.91e-05	9606.ENSP00000212015,9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000385824,9606.ENSP00000481956	SIRT1,ATF2,CREB3L2,ATF4,CREB3,ATF6B,FOXO3,CREB3L1
