start	end	dom_order
5000	335000	1
335000	1145000	1
1145000	1445000	1
1445000	1715000	1
1715000	1985000	1
1985000	2675000	1
2675000	2965000	1
2965000	3245000	1
3245000	3525000	1
3525000	3935000	1
3935000	4515000	1
4515000	4675000	1
4675000	4945000	1
4945000	5145000	1
5145000	5385000	1
5385000	5555000	1
5555000	5745000	1
5745000	5885000	1
5885000	6195000	1
6195000	6375000	1
6375000	7265000	1
7265000	7885000	1
7885000	8115000	1
8115000	8375000	1
8375000	8615000	1
8615000	9015000	1
9015000	9135000	1
9135000	9245000	1
9245000	9425000	1
9425000	9645000	1
9645000	9875000	1
9875000	10015000	1
10015000	10275000	1
10275000	10465000	1
10465000	10855000	1
10855000	11105000	1
11105000	11735000	1
11735000	12375000	1
12375000	12705000	1
12705000	13065000	1
13065000	13895000	1
13895000	14085000	1
14085000	14345000	1
14345000	14565000	1
14565000	14935000	1
14935000	15305000	1
15305000	15745000	1
15745000	15965000	1
15965000	16125000	1
16125000	16485000	1
16485000	16795000	1
16795000	17025000	1
17025000	17385000	1
17385000	17505000	1
17505000	17715000	1
17715000	18025000	1
18025000	18505000	1
18505000	18835000	1
18835000	19195000	1
19195000	19335000	1
19335000	19585000	1
19585000	19975000	1
335000	635000	2
635000	1145000	2
6375000	6525000	2
6525000	7265000	2
7265000	7545000	2
7545000	7885000	2
11105000	11455000	2
11735000	12205000	2
12205000	12375000	2
