start	end	dom_order
5000	405000	1
405000	1625000	1
1625000	2265000	1
2265000	2425000	1
2425000	3525000	1
3525000	5245000	1
5245000	5575000	1
5575000	6725000	1
6725000	7135000	1
7135000	7515000	1
7515000	9105000	1
9105000	9585000	1
9585000	10065000	1
10065000	10665000	1
10665000	10905000	1
10905000	11865000	1
11865000	13775000	1
13775000	14365000	1
14365000	15155000	1
15155000	15645000	1
15645000	16205000	1
16205000	16785000	1
16785000	17785000	1
17785000	18335000	1
18335000	18605000	1
18605000	19015000	1
19015000	19315000	1
19315000	20365000	1
20365000	20895000	1
20895000	21535000	1
21535000	22135000	1
22135000	22755000	1
22755000	23385000	1
23385000	23725000	1
23725000	25255000	1
25255000	25695000	1
25695000	25925000	1
25925000	26315000	1
26315000	26695000	1
26695000	26915000	1
26915000	26985000	1
26985000	27495000	1
27495000	28115000	1
28115000	28555000	1
28555000	28885000	1
28885000	29215000	1
29215000	30295000	1
30295000	31055000	1
31055000	32145000	1
32145000	32855000	1
32855000	33305000	1
33305000	33805000	1
33805000	34285000	1
34285000	36295000	1
36295000	36825000	1
36825000	37585000	1
37585000	37965000	1
37965000	38135000	1
38135000	38435000	1
38435000	39075000	1
39075000	39545000	1
39545000	39905000	1
39905000	40755000	1
40755000	41435000	1
41435000	42325000	1
42325000	42805000	1
42805000	43005000	1
43005000	43405000	1
43405000	44965000	1
44965000	45655000	1
45655000	46165000	1
46165000	46955000	1
46955000	47565000	1
47565000	48065000	1
48065000	48775000	1
48775000	48955000	1
48955000	49355000	1
49355000	50085000	1
50085000	50265000	1
50265000	50775000	1
50775000	51555000	1
51555000	52885000	1
52885000	53455000	1
53455000	54485000	1
54485000	54985000	1
54985000	56075000	1
56075000	57205000	1
57205000	57525000	1
57525000	57835000	1
57835000	58385000	1
58385000	58805000	1
58805000	59295000	1
59295000	59835000	1
59835000	60395000	1
60395000	60645000	1
60645000	61305000	1
61305000	61605000	1
61605000	62745000	1
62745000	63255000	1
63255000	63975000	1
64075000	65135000	1
65135000	66555000	1
66555000	67435000	1
67435000	67895000	1
67895000	69045000	1
69045000	69395000	1
69395000	69855000	1
69855000	70165000	1
70165000	70455000	1
70455000	70685000	1
70685000	70985000	1
70985000	71855000	1
71855000	72555000	1
72555000	72825000	1
72825000	73275000	1
73275000	73865000	1
73865000	74145000	1
74145000	74585000	1
74585000	75215000	1
75215000	75725000	1
75725000	75885000	1
75885000	76165000	1
76165000	76655000	1
76655000	76805000	1
76805000	77285000	1
77285000	77795000	1
77795000	78075000	1
78165000	78565000	1
78565000	79015000	1
79015000	79955000	1
79955000	80165000	1
80165000	80435000	1
80435000	80815000	1
80815000	81165000	1
81165000	81885000	1
81885000	83945000	1
