start	end	dom_order
5000	695000	1
695000	825000	1
825000	1475000	1
1475000	1655000	1
1655000	1865000	1
1865000	1995000	1
1995000	2495000	1
2495000	3105000	1
3105000	3805000	1
3805000	5495000	1
5495000	5785000	1
5785000	6855000	1
6855000	7205000	1
7205000	7575000	1
7575000	7795000	1
7795000	8015000	1
8015000	8585000	1
8585000	8855000	1
8855000	9115000	1
9115000	9695000	1
9695000	11435000	1
11435000	11635000	1
11635000	12095000	1
12095000	12355000	1
12355000	12555000	1
12555000	13345000	1
13345000	13465000	1
13465000	14435000	1
14435000	14805000	1
14805000	15285000	1
15285000	15855000	1
15855000	16155000	1
16155000	16785000	1
825000	1055000	2
1055000	1475000	2
3805000	4215000	2
4215000	4325000	2
4325000	4715000	2
4715000	5055000	2
5055000	5495000	2
5785000	6255000	2
6255000	6655000	2
6655000	6855000	2
9695000	10055000	2
10055000	10925000	2
10925000	11435000	2
12555000	12985000	2
12985000	13345000	2
13465000	13705000	2
13705000	13975000	2
13975000	14245000	2
14245000	14435000	2
15285000	15585000	2
15585000	15705000	2
15705000	15855000	2
16155000	16515000	2
16515000	16785000	2
