start	end	dom_order
5000	505000	1
505000	1235000	1
1235000	1895000	1
1895000	2015000	1
2015000	2575000	1
2575000	2835000	1
2835000	3335000	1
3335000	3925000	1
3925000	4355000	1
4355000	4775000	1
4775000	4845000	1
4845000	5485000	1
5485000	5815000	1
5815000	6155000	1
6155000	6235000	1
6235000	6335000	1
6335000	6555000	1
6645000	7015000	1
7015000	7835000	1
7835000	8405000	1
8405000	8855000	1
8855000	9365000	1
9365000	9685000	1
9685000	9925000	1
9925000	10645000	1
10645000	12065000	1
12195000	12845000	1
12845000	12945000	1
12945000	13145000	1
13145000	13785000	1
505000	1045000	2
1045000	1235000	2
1235000	1535000	2
1535000	1595000	2
1595000	1895000	2
3335000	3635000	2
3635000	3925000	2
4845000	5055000	2
5055000	5275000	2
5275000	5485000	2
7015000	7245000	2
7245000	7405000	2
7405000	7835000	2
8855000	9235000	2
9235000	9365000	2
9925000	10135000	2
10135000	10425000	2
10425000	10645000	2
12195000	12485000	2
12485000	12845000	2
