start	end	dom_order
115000	425000	1
425000	675000	1
675000	945000	1
945000	1095000	1
1095000	2015000	1
2015000	2385000	1
2385000	2845000	1
2845000	3505000	1
3505000	4255000	1
4255000	4525000	1
4525000	4705000	1
4855000	5275000	1
5275000	5635000	1
5635000	5775000	1
5775000	6155000	1
6155000	6295000	1
6295000	7025000	1
7025000	7165000	1
7165000	7635000	1
7635000	8485000	1
8485000	8905000	1
8905000	9115000	1
9115000	9875000	1
9875000	10405000	1
10405000	10665000	1
10665000	10845000	1
10845000	11105000	1
11105000	11555000	1
11555000	11915000	1
11915000	12205000	1
12205000	12375000	1
12375000	12705000	1
12705000	12945000	1
12945000	13285000	1
13285000	13765000	1
1095000	1295000	2
1295000	1605000	2
1605000	2015000	2
3505000	3895000	2
3895000	4255000	2
6295000	6625000	2
6625000	6785000	2
6785000	7025000	2
9115000	9375000	2
9375000	9675000	2
9675000	9875000	2
