start	end	dom_order
5000	1385000	1
1385000	1995000	1
1995000	2105000	1
2105000	4195000	1
4195000	4615000	1
4615000	4785000	1
4785000	5845000	1
5845000	6155000	1
6155000	6335000	1
6335000	6655000	1
6655000	8455000	1
8455000	9165000	1
9165000	9325000	1
9325000	9725000	1
9725000	11655000	1
11655000	11875000	1
11875000	12675000	1
12675000	13515000	1
13515000	13815000	1
13815000	13965000	1
13965000	14215000	1
14215000	14305000	1
14305000	15295000	1
15295000	16485000	1
16485000	17045000	1
17045000	17485000	1
17485000	18245000	1
18245000	18505000	1
18505000	19085000	1
19085000	19945000	1
19945000	20465000	1
20465000	21505000	1
21505000	21745000	1
21745000	21985000	1
21985000	23895000	1
23895000	25025000	1
25025000	25195000	1
25195000	25615000	1
25615000	26055000	1
26125000	26465000	1
26465000	26625000	1
26625000	26965000	1
26965000	28955000	1
28955000	29155000	1
29155000	29805000	1
29805000	30395000	1
30575000	30795000	1
30795000	31575000	1
31575000	32075000	1
32075000	32335000	1
32335000	33555000	1
33555000	33965000	1
33965000	34265000	1
34265000	36755000	1
36755000	38275000	1
38275000	38935000	1
38935000	39155000	1
39155000	39715000	1
39715000	40215000	1
40215000	40375000	1
40375000	40905000	1
40905000	41465000	1
41465000	41945000	1
41945000	42625000	1
42625000	43005000	1
43005000	43625000	1
43625000	43755000	1
43755000	43925000	1
43925000	44515000	1
44515000	45125000	1
45275000	45985000	1
45985000	46435000	1
46435000	48645000	1
48645000	49135000	1
49135000	49335000	1
49335000	49935000	1
49935000	50795000	1
50795000	51145000	1
51145000	51285000	1
51285000	51845000	1
51845000	52745000	1
52745000	53305000	1
53305000	54755000	1
54755000	55445000	1
55445000	55905000	1
55905000	56285000	1
56285000	56755000	1
56755000	57175000	1
57175000	59175000	1
59175000	59355000	1
59355000	60345000	1
60345000	61485000	1
61485000	61995000	1
62115000	62625000	1
62625000	63185000	1
63185000	64815000	1
64815000	65305000	1
65305000	65895000	1
65895000	66655000	1
66655000	69215000	1
69215000	69925000	1
69925000	70295000	1
70295000	70485000	1
70485000	70975000	1
70975000	71765000	1
71765000	71945000	1
71945000	75125000	1
75125000	76255000	1
76255000	76715000	1
76715000	77375000	1
77375000	77885000	1
77885000	79145000	1
79145000	79385000	1
79385000	80655000	1
80655000	80855000	1
80855000	81375000	1
81375000	81515000	1
81515000	82125000	1
82125000	83315000	1
83315000	83585000	1
83585000	84155000	1
84155000	84315000	1
84315000	85145000	1
85145000	85455000	1
85455000	85955000	1
85955000	86515000	1
86515000	87465000	1
87465000	87705000	1
87705000	88095000	1
88095000	88415000	1
88415000	88535000	1
88535000	89185000	1
89185000	89515000	1
89515000	90065000	1
90065000	90505000	1
90505000	90835000	1
90835000	91385000	1
91385000	92315000	1
92315000	92725000	1
92725000	93325000	1
93325000	94075000	1
94155000	94305000	1
94305000	94905000	1
94905000	95135000	1
95135000	95845000	1
95845000	96195000	1
96195000	96795000	1
96795000	97295000	1
97295000	97465000	1
97465000	98015000	1
98015000	98575000	1
98575000	99845000	1
99845000	100415000	1
100415000	100525000	1
100525000	100905000	1
100905000	101015000	1
101015000	101495000	1
101495000	101715000	1
101715000	101875000	1
101875000	102015000	1
102015000	102295000	1
102295000	102995000	1
102995000	103755000	1
103755000	104295000	1
104295000	105255000	1
105255000	105395000	1
105395000	106065000	1
106065000	106395000	1
