start	end	dom_order
5000	235000	1
235000	615000	1
615000	1135000	1
1135000	1375000	1
1375000	1625000	1
1625000	2095000	1
2095000	2235000	1
2235000	2525000	1
2525000	2915000	1
2915000	3185000	1
3185000	3505000	1
3505000	3755000	1
3755000	3835000	1
3835000	4225000	1
4225000	4365000	1
4365000	4615000	1
4615000	4925000	1
4925000	5245000	1
5245000	5695000	1
5695000	5955000	1
5955000	6315000	1
6315000	6815000	1
6815000	7085000	1
7085000	7385000	1
7385000	7715000	1
7715000	7985000	1
7985000	8285000	1
8285000	8485000	1
8485000	8835000	1
8835000	9935000	1
9935000	10135000	1
10135000	10425000	1
10425000	10715000	1
10715000	10865000	1
10865000	11195000	1
11195000	11305000	1
11305000	11425000	1
11425000	11735000	1
11735000	11955000	1
11955000	12115000	1
12115000	12385000	1
8835000	9495000	2
9495000	9605000	2
9605000	9935000	2
