start	end	dom_order
5000	405000	1
405000	895000	1
895000	1055000	1
1055000	1335000	1
1335000	1885000	1
1885000	2295000	1
2295000	3205000	1
3205000	3725000	1
3725000	4125000	1
4125000	4455000	1
4455000	4775000	1
4775000	6075000	1
6075000	6695000	1
6695000	6825000	1
6825000	7785000	1
7785000	8065000	1
8065000	8385000	1
8385000	9005000	1
9005000	9285000	1
9285000	9585000	1
9585000	9855000	1
9855000	10625000	1
10625000	11215000	1
11215000	11435000	1
11435000	13005000	1
13255000	13575000	1
13575000	13725000	1
13725000	14035000	1
14035000	14205000	1
14205000	14355000	1
14355000	14655000	1
14655000	15325000	1
15325000	15655000	1
15655000	15935000	1
15935000	16735000	1
2295000	2605000	2
2605000	2885000	2
2885000	3205000	2
6075000	6215000	2
6215000	6555000	2
6555000	6695000	2
6825000	7165000	2
7165000	7285000	2
7285000	7785000	2
8385000	8825000	2
8825000	9005000	2
10625000	10885000	2
10885000	10995000	2
10995000	11075000	2
11075000	11215000	2
11435000	12185000	2
12185000	12295000	2
12295000	13005000	2
14655000	15045000	2
15045000	15325000	2
15935000	16095000	2
16095000	16605000	2
16605000	16735000	2
