chr	start	end	samples
scaffold-Z	10779	10886	RVG11_RVG1
scaffold-Z	75875	76060	RVG11_RVG4
scaffold-Z	76690	76937	RVG11_RVG1_RVG4
scaffold-Z	83688	83873	RVG11_RVG1
scaffold-Z	96041	96178	RVG1_RVG4
scaffold-Z	285758	286359	RVG11_RVG1_RVG1_RVG4
scaffold-Z	349619	349957	RVG11_RVG4
scaffold-Z	415943	416501	RVG11_RVG1_RVG4
scaffold-Z	544300	544436	RVG11_RVG1_RVG4
scaffold-Z	645030	645243	RVG11_RVG1_RVG4
scaffold-Z	650896	651339	RVG11_RVG11_RVG1_RVG4
scaffold-Z	694439	694781	RVG11_RVG1_RVG4
scaffold-Z	851542	851712	RVG1_RVG4
scaffold-Z	976458	976927	RVG11_RVG1_RVG4
scaffold-Z	1016066	1016247	RVG11_RVG4
scaffold-Z	1019136	1019378	RVG11_RVG1_RVG4
scaffold-Z	1019847	1020300	RVG11_RVG1_RVG4
scaffold-Z	1094204	1094720	RVG11_RVG1_RVG4
scaffold-Z	1094861	1095180	RVG11_RVG1_RVG4
scaffold-Z	1274176	1274457	RVG11_RVG1
scaffold-Z	1398879	1399031	RVG1_RVG4
scaffold-Z	1488161	1488432	RVG11_RVG1_RVG4
scaffold-Z	1543402	1543544	RVG11_RVG1
scaffold-Z	1544320	1544588	RVG11_RVG1
scaffold-Z	1558181	1558452	RVG11_RVG1
scaffold-Z	1563321	1563463	RVG11_RVG4
scaffold-Z	1567539	1567928	RVG11_RVG1_RVG4
scaffold-Z	1579544	1579879	RVG11_RVG1_RVG4
scaffold-Z	1586454	1586744	RVG11_RVG4
scaffold-Z	1682836	1683042	RVG11_RVG1
scaffold-Z	1760453	1760593	RVG11_RVG1
scaffold-Z	1893690	1893800	RVG11_RVG1
scaffold-Z	1969912	1970311	RVG11_RVG1_RVG4
scaffold-Z	2049423	2049642	RVG11_RVG4
scaffold-Z	2061355	2061556	RVG1_RVG4
scaffold-Z	2075691	2076092	RVG11_RVG1_RVG4
scaffold-Z	2146957	2147161	RVG11_RVG1_RVG4
scaffold-Z	2161709	2161920	RVG11_RVG1_RVG4
scaffold-Z	2230069	2230350	RVG11_RVG1_RVG4
scaffold-Z	2238174	2238550	RVG11_RVG1_RVG4
scaffold-Z	2243850	2244303	RVG11_RVG1_RVG4
scaffold-Z	2248993	2249190	RVG1_RVG4
scaffold-Z	2269755	2269945	RVG1_RVG4
scaffold-Z	2285223	2285449	RVG11_RVG1_RVG4
scaffold-Z	2346578	2347277	RVG11_RVG1_RVG4
scaffold-Z	2348151	2348270	RVG11_RVG4
scaffold-Z	2475868	2476272	RVG11_RVG1_RVG4
scaffold-Z	2522045	2522374	RVG11_RVG1_RVG4
scaffold-Z	2852097	2852743	RVG11_RVG1_RVG4
scaffold-Z	2895837	2896163	RVG11_RVG4
scaffold-Z	3010946	3011213	RVG11_RVG1_RVG4
scaffold-Z	3082928	3083259	RVG11_RVG1_RVG4
scaffold-Z	3085539	3085666	RVG11_RVG1_RVG4
scaffold-Z	3095733	3096290	RVG11_RVG1_RVG4
scaffold-Z	3234591	3235075	RVG11_RVG1_RVG4
scaffold-Z	3237728	3237894	RVG1_RVG4
scaffold-Z	3246534	3246908	RVG11_RVG1_RVG4
scaffold-Z	3265542	3265750	RVG11_RVG1_RVG4
scaffold-Z	3275437	3275647	RVG11_RVG1_RVG4
scaffold-Z	3275928	3276142	RVG1_RVG4
scaffold-Z	3338921	3339619	RVG11_RVG1_RVG4
scaffold-Z	3345893	3346327	RVG11_RVG1_RVG4
scaffold-Z	3373230	3373574	RVG11_RVG1_RVG4
scaffold-Z	3402870	3403113	RVG11_RVG4
scaffold-Z	3403825	3404363	RVG11_RVG1_RVG4
scaffold-Z	3414960	3415344	RVG11_RVG1_RVG4
scaffold-Z	3485302	3485776	RVG11_RVG1_RVG4
scaffold-Z	3591704	3591898	RVG11_RVG1
scaffold-Z	3901921	3902201	RVG11_RVG1_RVG4
scaffold-Z	3909722	3909860	RVG11_RVG1_RVG4
scaffold-Z	3924401	3924645	RVG11_RVG1_RVG4
scaffold-Z	3990571	3990974	RVG11_RVG1_RVG4
scaffold-Z	4029776	4030000	RVG11_RVG1_RVG4
scaffold-Z	4196475	4197142	RVG11_RVG1_RVG4
scaffold-Z	4241169	4241536	RVG11_RVG1_RVG4
scaffold-Z	4247911	4248155	RVG11_RVG1_RVG4
scaffold-Z	4250962	4251458	RVG11_RVG1_RVG4
scaffold-Z	4275467	4275809	RVG11_RVG1_RVG4
scaffold-Z	4304185	4305040	RVG11_RVG1_RVG4
scaffold-Z	4316761	4316917	RVG1_RVG4
scaffold-Z	4467014	4467196	RVG11_RVG1
scaffold-Z	4483905	4484159	RVG1_RVG4
scaffold-Z	4607186	4607784	RVG11_RVG1_RVG4
scaffold-Z	4612705	4613044	RVG11_RVG1_RVG4
scaffold-Z	4631136	4631409	RVG11_RVG1_RVG4
scaffold-Z	4655747	4656639	RVG11_RVG1_RVG4
scaffold-Z	4713633	4713837	RVG11_RVG1_RVG4
scaffold-Z	4789853	4789973	RVG11_RVG1
scaffold-Z	4795997	4796804	RVG11_RVG1_RVG4
scaffold-Z	4886357	4886665	RVG11_RVG1_RVG4
scaffold-Z	4891341	4892176	RVG11_RVG1_RVG4
scaffold-Z	4924021	4924409	RVG11_RVG1_RVG4
scaffold-Z	4978488	4978723	RVG11_RVG1_RVG4
scaffold-Z	4990987	4991172	RVG11_RVG4
scaffold-Z	4999464	4999745	RVG11_RVG1_RVG4
scaffold-Z	5007681	5008032	RVG11_RVG1_RVG4
scaffold-Z	5042994	5043343	RVG11_RVG1_RVG4
scaffold-Z	5176525	5176732	RVG1_RVG4
scaffold-Z	5180661	5181085	RVG11_RVG11_RVG1_RVG4
scaffold-Z	5206624	5206778	RVG11_RVG1
scaffold-Z	5207925	5208485	RVG11_RVG1_RVG4
scaffold-Z	5230653	5230773	RVG11_RVG1
scaffold-Z	5276186	5276523	RVG11_RVG1_RVG4
scaffold-Z	5277919	5278485	RVG11_RVG1_RVG4
